Date,Bid,Descript
2014/5/29,000063.SZ,信 达 国际 建议 趁低 吸纳 中兴通讯 
2014/6/3,000063.SZ,互动 中兴通讯 智能家居 设备 成下步 考虑 方向 
2014/6/3,000063.SZ,消息 称 中兴 终端 中国区 CEO 叶 卫民 卸任 吴海 接替 
2014/6/4,000063.SZ,中兴通讯 中标 中国移动 国际 信息港 IDC 一期 配套工程 
2014/6/5,000063.SZ,中兴 HK 拟 启动 亿美元 贷款 案 
2014/6/5,000063.SZ,大 行 报告 瑞信 首予 中兴通讯 HK 跑 赢大市 评级 看元 
2014/6/5,000063.SZ,中兴通讯 携手 非洲 领先 的 ICT 产品 分销商 拓展 南非 政企 网 市场 
2014/6/6,000063.SZ,中兴通讯 今日 大宗 交易 成交 万股 成交价 元 折价 
2014/6/7,000063.SZ,消息 称 中兴 终端 中国区 CEO 叶 卫民 卸任 吴海 接替 
2014/6/9,000063.SZ,中兴通讯 终 扭亏为盈 预计 今年 全年 将 实现 收入 利润 双增长 
2014/6/9,000063.SZ,中兴 HK 料 今年 G 业务收入 增长 一倍 以上 
2014/6/9,000063.SZ,中兴通讯 拟 与 黑莓 研发 手机 设计 安全 
2014/6/9,000063.SZ,中兴通讯 HK 引入 黑莓 多个 研发 团队 
2014/6/9,000063.SZ,中兴通讯 引入 黑莓 核心 高管 团队 提升 安全 等 方面 技术 
2014/6/9,000063.SZ,中兴 挖角 黑莓 引入 安全 等 三个 核心 研发 团队 
2014/6/9,000063.SZ,中兴 HK 料 明年 智能手机 出货量 达 万部 
2014/6/10,000063.SZ,引入 黑莓 团队 中兴 欲 继续 提高 终端 占 比 
2014/6/10,000063.SZ,外媒 中兴通讯 年内 将 在 印度 推款 手机 并设 研发 中心 
2014/6/10,000063.SZ,中兴 战胜 德国 同 为 挑战者 凭 什么 以 小吃 大 
2014/6/10,000063.SZ,邓声兴 推荐 中兴通讯 目标 港元 
2014/6/10,000063.SZ,中兴 HK 引入 黑莓 团队 与 并购 无关 
2014/6/11,000063.SZ,复星 医药 中兴通讯 等 股票 资金 流速 居前 
2014/6/11,000063.SZ,中兴通讯 露笑 科技 等 股票 资金 流速 居前 
2014/6/11,000063.SZ,中兴通讯 陕鼓 动力 等 股票 资金 流速 居前 
2014/6/11,000063.SZ,消息 称 中兴 成立 挖角 黑莓 摩托罗拉 小组 已 挖 来 多 人 
2014/6/12,000063.SZ,中兴 HK 斥亿设 合伙 基金 投资 TMT 行业 
2014/6/12,000063.SZ,中兴通讯 押宝 终端 市场 欲 告别 运营商 依赖 
2014/6/12,000063.SZ,全新 打造 球迷 必备 中兴 将 推出 NBAPhone 
2014/6/13,000063.SZ,外媒 尼日利亚 下令 调查 中兴通讯 美元 安防 合同 
2014/6/13,000063.SZ,国泰君安 中兴通讯 致力于 成为 MICT 时代 第一 品牌 
2014/6/16,000063.SZ,中兴通讯 新文化 等 股票 资金 流速 居前 
2014/6/16,000063.SZ,中兴通讯 携手 USCellular 发布 中兴 天机 美国版 
2014/6/17,000063.SZ,中兴 黄辉颖 不惧 米 降价 备货 万迎 
2014/6/19,000063.SZ,中兴通讯 向 欧盟 提交 对美 专利 运营 公司 反垄断 调查 申请 
2014/6/19,000063.SZ,中兴 大举 出击 智能 交通 三大 领域 同时 出击 
2014/6/19,000063.SZ,中兴 新 CEO 到位 力推 NBAPhone 
2014/6/20,000063.SZ,中兴通讯 HK 请 欧委会 对 Vringo 作 反垄断 调查 
2014/6/20,000063.SZ,瞄准 美 专利 运营 公司 中兴通讯 向 欧盟 交 反垄断 调查 申请 
2014/6/23,000063.SZ,中兴通讯 亿设 股权 基金 投资 TMT 领域 
2014/6/23,000063.SZ,中兴通讯 创新 引领 未来 IDC 业务 渐入 收获期 
2014/6/25,000063.SZ,中兴通讯 将 为 多米尼加 部署 首个 TDLTEG 网络 
2014/6/25,000063.SZ,通信 国务院 加快 现代 职业 教育 发展 行业 爆发 
2014/6/26,000063.SZ,中兴通讯 携手 中国电信 推出 青漾 G 版 
2014/6/27,000063.SZ,中兴 手机 中国区 负责人 亮相 携 电信 推 G 版青漾 
2014/6/30,000063.SZ,中兴 大举 出击 智能 交通 三大 领域 同时 出击 
2014/6/30,000063.SZ,中兴通讯 助力 广州 智慧 城市 建设 
2014/6/30,000063.SZ,中兴 海外 专利 反击战 瞄向 美 专利 巨头 
2014/7/1,000063.SZ,中信 国安 中兴通讯 等 股票 资金 流速 居前 
2014/7/2,000063.SZ,通化 东宝 中兴通讯 等 股票 资金 流速 居前 
2014/7/7,000063.SZ,中兴 HK 未有 推 智能 手表 时间表 
2014/7/8,000063.SZ,切亚 资本 管理 减持 中兴通讯 万股 套现 万 港币 
2014/7/9,000063.SZ,中兴通讯 与 银联 推 支付 功能 并 推出 高端 手机 
2014/7/9,000063.SZ,中兴通讯 推 高端 手机 伙 银联 推 支付 功能 
2014/7/9,000063.SZ,中兴 HK 推 高端 手机 夥 银联 推 支付 功能 
2014/7/9,000063.SZ,中兴通讯 推赢 在 教育 计划 深化 产学 融合 校企 合作 
2014/7/10,000063.SZ,十大 港股 要闻 中兴通讯 与 银联 推 支付 功能 
2014/7/11,000063.SZ,中兴通讯 目前 已 能够 提供 纳米 的 G 基带 芯片 
2014/7/11,000063.SZ,张赛 娥 点评 中兴通讯 
2014/7/11,000063.SZ,中兴通讯 调研 报告 创新 引领 未来 IDC 业务 渐入 收获期 
2014/7/11,000063.SZ,公司 中兴通讯 其 G 基带 芯片 已 在 终端 商用 
2014/7/11,000063.SZ,中兴通讯 G 基带 芯片 已 商用 
2014/7/12,000063.SZ,努比亚 预言 今年 销售 达 百万 级 中兴 手机 抛新 利器 抢 份额 
2014/7/14,000063.SZ,切亚 资本 管理 增持 中兴通讯 万股 耗资 万 港币 
2014/7/14,000063.SZ,受惠 G 中兴通讯 上半年 净利 增长 
2014/7/14,000063.SZ,中兴通讯 修正 预计 业绩 半年 净利 亿 最高 增幅 
2014/7/14,000063.SZ,中兴通讯 预计 半年 净利 大幅 提升 最高 至 亿 
2014/7/14,000063.SZ,国际 合同 毛利率 改善 中兴通讯 中期 净利 预增 超倍 
2014/7/14,000063.SZ,中兴通讯 目前 智能机 销售 主要 来自 国外 
2014/7/15,000063.SZ,中兴通讯 厦工 股份 等 股票 资金 流速 居前 
2014/7/15,000063.SZ,长江 证券 中兴通讯 业绩 表现 超出 市场 预期 充分 受益 于 行业 高 景气 公司 研究 
2014/7/15,000063.SZ,中兴通讯 中 报 预告 业绩 超 预期 通信 行业龙头 公司 强势 归来 
2014/7/15,000063.SZ,中信 建投 通信 行业龙头 公司 中兴通讯 强势 归来 
2014/7/15,000063.SZ,东莞 证券 中兴通讯 年 中报 预告 点评 上调 业绩 预告 行业 复苏 明显 公司 研究 
2014/7/15,000063.SZ,中信证券 铁塔 公司 成立 落实 重点 利好 中国联通 和 中兴通讯 
2014/7/15,000063.SZ,中信证券 中兴通讯 业绩 持续 反转 下半年 业绩 创新 高可期 
2014/7/15,000063.SZ,港股 迫 阻力 中 移动 见元 中兴 大涨 半成 
2014/7/15,000063.SZ,大 行 报告 瑞信 中兴 HK 业绩 胜 预期 料续 跑 赢大市 
2014/7/15,000063.SZ,民生 证券 中兴通讯 三大 业务 全面 向 好 中报 业绩 再超 预期 
2014/7/15,000063.SZ,华泰 证券 中兴通讯 业绩 超 预期 高 增长 持续性 可 期 
2014/7/15,000063.SZ,中兴通讯 年 半年 净利润 增加 
2014/7/15,000063.SZ,大 行 报告 大摩 重申 中兴 HK 增持 评级 料 毛利 优 预期 
2014/7/15,000063.SZ,中兴通讯 上修 半年 业绩 预期 最高 增幅 有望 达 
2014/7/16,000063.SZ,群益 证券 香港 中兴通讯 g 建设 加速 h 净利润 上 修至 公司 研究 
2014/7/16,000063.SZ,安信 证券 中兴通讯 成长 被 低估 
2014/7/16,000063.SZ,光大 证券 中兴通讯 中 报 预告 上调 复苏 势头 迅猛 公司 研究 
2014/7/16,000063.SZ,招商 证券 中兴通讯 受益 G 业绩 将 持续 释放 
2014/7/16,000063.SZ,中兴通讯 净利 逾 亿 增长 超 两倍 
2014/7/16,000063.SZ,瑞信 中兴通讯 急涨 逾 留意 中兴 购 
2014/7/16,000063.SZ,加减法 助推 中兴通讯 上半年 净利 增 两倍 
2014/7/17,000063.SZ,中兴通讯 上调 半年 业绩 白马 成长 被 低估 
2014/7/21,000063.SZ,中兴通讯 签署 巴西 数字 城市 项目 
2014/7/22,000063.SZ,消息 指 中兴 HK 亿美元 贷款 获多间 银行 参与 
2014/7/24,000063.SZ,中兴 上半年 智能机 出货 万 G 机 抢眼 
2014/7/24,000063.SZ,中兴通讯 首推 海外 电商 平台 
2014/7/24,000063.SZ,中兴 HK 下 月 发布 蓝芽 手环 
2014/7/24,000063.SZ,中兴 HK 上半年 全球 手机 出货量 部 销售 目标 不变 
2014/7/24,000063.SZ,中兴 HK 推 两款 G 高端 手机 蓝芽 手环 料 年内 面世 
2014/7/25,000063.SZ,大连 重工 中兴通讯 等 股票 资金 流速 居前 
2014/7/25,000063.SZ,借力 中兴 谷歌 原生态 战略 再下 一城 
