Date,Bid,Descript
2018/8/13,000651.SZ,格力 董明珠 加大 芯片 研究 投入 被 质疑 掌握 核芯 科技 的 重要性 
2018/8/13,000651.SZ,赌约 期限 渐近 格力 手机 销量 仍 是 一笔 糊涂账 
2018/8/13,000651.SZ,买入 评级 家电行业 周报 浅析 空调 行业 的 周期 属性 星级 
2018/8/13,000651.SZ,家电行业 每周 观点 空调 零售 数据 回暖 重申 估值 底部 不宜 悲观 
2018/8/13,000651.SZ,行情 差 人心 散 市场 乱 家电 厂商 如今 一言不合 就 打价 
2018/8/15,000651.SZ,董明珠 投 重金 搞 研发 格力 的 芯片 之痛 
2018/8/15,000651.SZ,AI 智能家居 小米 格力 谁 能 成为 IOT 时代 的 王者 
2018/8/15,000651.SZ,看好 评级 家电行业 动态 跟踪 月 地产 数据 继续 回暖 压制 家电行业 最大 利空 逐渐 瓦解 
2018/8/15,000651.SZ,领先 大市 A 评级 家电行业 年 月 房地产 销售 数据 点评 地产 销售 继续 反弹 家电 可以 更 乐观 些 
2018/8/15,000651.SZ,看好 评级 家电行业 周报 空调 月 排产 势头 良好 小米 生态 链 企业 扰动 有限 
2018/8/18,000651.SZ,格力 产业布局 再 落子 两大 基地 落户 南京 
2018/8/19,000651.SZ,国君 家电 终端 销售 继续 好转 空调 龙头 估值 与 分红 优势 凸显 W 周 观点 
2018/8/19,000651.SZ,长江 家电 关于 空调 线下 渠道 体系 的 再 思考 
2018/8/20,000651.SZ,机构 席位 对 敲 白马股 格力电器 苏泊尔 均 现超 平价 大宗 交易 
2018/8/20,000651.SZ,格力 两大 基地 落户 南京 新元 电子 滨江 开发区 项目 签约 
2018/8/20,000651.SZ,广证 恒生 家电行业 点评 报告 Q 基金 重仓 持股 家电 分析 白电 偏好 龙头 其它 领域 分歧 较大 
2018/8/21,000651.SZ,一线 董明珠 亿造 芯片 开始 行动 格力 注册 子公司 
2018/8/21,000651.SZ,董明珠 芯片 团队 曝光 格力电器 注册 集成电路 全资 子公司 
2018/8/21,000651.SZ,格力电器 与 珠海 银隆 无 股权 关系 
2018/8/21,000651.SZ,格力 多元化 产业布局 落子 南京 
2018/8/21,000651.SZ,推荐 评级 家电行业 专题报告 上半年 空调 市场 表现 良好 电商 红利 仍 在 
2018/8/21,000651.SZ,家电行业 每周 观点 悲观 预期 已有 一定 消化 底部 配置 价值 依旧 
2018/8/22,000651.SZ,格力 董秘 回应 成立 芯片 公司 暂无 具体 资金投入 规划 
2018/8/22,000651.SZ,董明珠 亲自 挂帅 格力 投资 成立 芯片 公司 
2018/8/22,000651.SZ,董明珠 造 芯片 不是 说 说 玩 格力 集成电路 公司 成立 
2018/8/22,000651.SZ,格力 成立 子公司 造 芯片 亲自 挂帅 的 董明珠 能 成功 吗 
2018/8/22,000651.SZ,格力 造 芯片 动真格 董明珠 为何 要 执着 造 芯片 
2018/8/22,000651.SZ,格力电器 亿人币 进军 晶片 界现 跌近 
2018/8/22,000651.SZ,格力 成立 芯片 公司 注册资本 亿 董明珠 任 董事长 
2018/8/22,000651.SZ,格力 注册 集成电路 子公司 董明珠 出任 董事长 
2018/8/22,000651.SZ,董明珠 做 芯片 来 真的 了 格力电器 已 投资 亿 成立 集成电路 子公司 
2018/8/22,000651.SZ,看好 评级 年 月 家电 零售 和 企业 出货 端 数据 解读 冷年 空调 内销 增长 月 数据 下滑 无碍 全年 业绩 达成 
2018/8/22,000651.SZ,买入 评级 产业 在线 月 空调 数据 点评 家电行业 内 销量 有所 下滑 龙头 表现 好于 行业 整体 
2018/8/23,000651.SZ,格力电器 套 人才 公寓 开建 在 即 年 后 拎包 入住 
2018/8/23,000651.SZ,格力电器 套 公寓 即将 开建 年 就 能 拎包 入住 
2018/8/23,000651.SZ,格力 集团 套 人才 公寓 开建 在 即 年 后 拎包 入住 
2018/8/23,000651.SZ,董明珠 铁了心 要 做 芯片 然而 仅靠 格力 恐怕 难 成功 
2018/8/23,000651.SZ,董明珠 亿造 芯片 她 和 格力 能 成功 吗 
2018/8/23,000651.SZ,合肥 徐州 两地 开花 格力 中央空调 成 地铁 首选 
2018/8/23,000651.SZ,参与 多项 标准 制定 格力 在 国际舞台 发出 中国 声音 
2018/8/23,000651.SZ,格力 亮相 磁悬浮 轴承 国际 学术会议 展示 国际 领先 磁悬浮 技术 
2018/8/23,000651.SZ,易读 马云 如果 没有 电商 格力 美的 股价 会 很 难看 
2018/8/23,000651.SZ,西非 再添 新 标杆 格力 服务 多哥 议会 大厦 
2018/8/23,000651.SZ,董明珠 亿做 格力 芯片 公司 造芯会 成功 吗 
2018/8/23,000651.SZ,董明珠 芯片 梦 照进 现实 格力 成立 子公司 
2018/8/24,000651.SZ,董明珠 只要 是 格力 人一人 一 套房 
2018/8/24,000651.SZ,格力 首批 人才 公寓 将 启动 建设 董明珠 曾 承诺 送 员工 一人 一 套房 
2018/8/25,000651.SZ,格力 兑现 承诺 给 员工 分 房子 马云 董明珠 将来 房价 多高 都 与 你 无关 
2018/8/26,000651.SZ,买入 评级 格力电器 动态 跟踪 成立 集成电路 公司 落实 战略 布局 
2018/8/27,000651.SZ,带领 格力 三次 闯关 董明珠 的 任性 成就 了 格力 
2018/8/27,000651.SZ,董明珠 投亿建套 人才 公寓 格力 明珠 广场 正式 动工 
2018/8/27,000651.SZ,格力 公司 送 员工 一人 一 套房 将 兑现 年 可 入住 
2018/8/27,000651.SZ,董明珠 的 格力 造芯 将 服务 主业 新 公司 竟 入住 这里 
2018/8/27,000651.SZ,白马股 今日 早盘 集体 回暖 格力电器 等 涨超 
2018/8/27,000651.SZ,家底 大 PK 格力 要 比 美的 殷实 
2018/8/27,000651.SZ,董明珠 芯片 公司 入驻 雷军 所在 大厦 产品 将 服务 格力 主业 
2018/8/27,000651.SZ,董明珠 加速 兑现 承诺 格力 自掏腰包 建 员工 房 
2018/8/27,000651.SZ,董明珠 芯片 公司 入驻 雷军 所在 大厦 产品 将 服务 格力 主业 
2018/8/27,000651.SZ,买入 评级 家电行业 研究 周报 检验 龙头 成色 在于 能否 抵御 行业 波动 
2018/8/28,000651.SZ,格力 公布 造芯 进展 不仅 自用 还 外销 明年 上市 没 问题 
2018/8/28,000651.SZ,格力 芯片 公司 将 专注 设计 未来 或 独立自主 制造 
2018/8/28,000651.SZ,格力电器 芯片 由 格力 设计 代工厂 生产 未来 可能 外销 
2018/8/28,000651.SZ,格力 正式 将 芯片 列入 未来 发展 战略 不 排除 未来 独立 制造 并 外销 
2018/8/28,000651.SZ,格力电器 芯片 公司 目前 专注 设计 明年 就 能 用 上 
2018/8/28,000651.SZ,格力电器 自主 研发 的 芯片 已 实现 量产 明年 可 上市 
2018/8/28,000651.SZ,格力电器 目前 在 研制 高端 的 变频 驱动 芯片 和 主机 芯片 
2018/8/28,000651.SZ,格力电器 目前 在 研制 高端 的 变频 驱动 芯片 和 主机 芯片 
